cidade,codestacao,datahora,id_sensor,latitude,longitude,nome,offset,qualificacao,uf,valor
RECIFE,261160614A,2026-09-06 00:00:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.58902
RECIFE,261160614A,2026-09-06 00:10:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-09-06 00:30:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-09-06 01:00:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-09-06 01:30:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-09-06 01:40:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.78536
RECIFE,261160614A,2026-09-06 02:10:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160609A,2026-09-06 00:00:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.39268
RECIFE,261160609A,2026-09-06 00:10:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 00:20:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.78536
RECIFE,261160609A,2026-09-06 00:30:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 00:40:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 00:50:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 01:40:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 01:50:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,2.3589523992
RECIFE,261160609A,2026-09-06 02:00:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 02:20:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 02:30:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,2.3614895662
RECIFE,261160609A,2026-09-06 02:40:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160618A,2026-09-06 00:00:00,10,-8.037,-34.884,Torreão,,4,PE,0.58902
RECIFE,261160618A,2026-09-06 00:10:00,10,-8.037,-34.884,Torreão,,4,PE,0.2
RECIFE,261160618A,2026-09-06 00:30:00,10,-8.037,-34.884,Torreão,,4,PE,0.2
RECIFE,261160618A,2026-09-06 01:00:00,10,-8.037,-34.884,Torreão,,4,PE,0.2
RECIFE,261160618A,2026-09-06 02:00:00,10,-8.037,-34.884,Torreão,,4,PE,0.7869301421
RECIFE,261160618A,2026-09-06 02:20:00,10,-8.037,-34.884,Torreão,,4,PE,0.78536
RECIFE,261160618A,2026-09-06 02:30:00,10,-8.037,-34.884,Torreão,,4,PE,1.5710439392
RECIFE,261160618A,2026-09-06 02:40:00,10,-8.037,-34.884,Torreão,,4,PE,0.2
RECIFE,261160614A,2026-09-06 04:10:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.9839687929
RECIFE,261160614A,2026-09-06 04:20:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.5907786079
RECIFE,261160614A,2026-09-06 04:30:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-09-06 04:50:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-09-06 05:00:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-09-06 06:30:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2026-09-06 04:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2026-09-06 05:40:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-09-06 06:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-09-06 04:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-06 04:30:00,10,-8.037,-34.884,Torreão,,4,PE,0.2
RECIFE,261160618A,2026-09-06 05:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-06 06:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2026-09-06 07:30:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160614A,2026-09-06 08:30:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160614A,2026-09-06 09:30:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2026-09-06 07:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2026-09-06 08:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2026-09-06 09:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-09-06 08:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-06 09:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-06 10:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160603A,2026-09-06 10:10:00,10,-8.018378,-34.947058,Dois Irmãos,,0,PE,0.0
RECIFE,261160609A,2026-09-06 10:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2026-09-06 11:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
