data,hora_ref,nomeEstacao,VP,AM,Nivel_Risco_Valor,Classificacao_Risco
2026-01-28,00:00:00,Campina do Barreto,0.0,1.74,0.0,Baixo
2026-01-28,00:00:00,Torreão,0.0,1.74,0.0,Baixo
2026-01-27,22:00:00,Torreão,0.0,1.61,0.0,Baixo
2026-01-27,21:00:00,Campina do Barreto,0.0,1.43,0.0,Baixo
2026-01-27,21:00:00,Imbiribeira,0.0,1.43,0.0,Baixo
2026-01-27,21:00:00,Torreão,0.0,1.43,0.0,Baixo
2026-01-27,20:00:00,Campina do Barreto,0.0,1.24,0.0,Baixo
2026-01-27,20:00:00,Imbiribeira,0.0,1.24,0.0,Baixo
2026-01-27,20:00:00,Torreão,0.0,1.24,0.0,Baixo
2026-01-27,19:00:00,Campina do Barreto,0.0,1.06,0.0,Baixo
2026-01-27,19:00:00,Imbiribeira,0.0,1.06,0.0,Baixo
2026-01-27,19:00:00,Torreão,0.0,1.06,0.0,Baixo
2026-01-27,18:00:00,Campina do Barreto,0.0,0.88,0.0,Baixo
2026-01-27,18:00:00,Imbiribeira,0.0,0.88,0.0,Baixo
2026-01-27,18:00:00,Torreão,0.0,0.88,0.0,Baixo
2026-01-27,17:00:00,Campina do Barreto,0.0,0.72,0.0,Baixo
2026-01-27,17:00:00,Imbiribeira,0.0,0.72,0.0,Baixo
2026-01-27,17:00:00,Torreão,0.0,0.72,0.0,Baixo
2026-01-27,16:00:00,Campina do Barreto,0.0,0.89,0.0,Baixo
2026-01-27,16:00:00,Imbiribeira,0.0,0.89,0.0,Baixo
2026-01-27,16:00:00,Torreão,0.0,0.89,0.0,Baixo
2026-01-27,15:00:00,Campina do Barreto,0.0,1.05,0.0,Baixo
2026-01-27,15:00:00,Imbiribeira,0.0,1.05,0.0,Baixo
2026-01-27,15:00:00,Torreão,0.0,1.05,0.0,Baixo
2026-01-27,14:00:00,Campina do Barreto,0.0,1.21,0.0,Baixo
2026-01-27,14:00:00,Imbiribeira,0.0,1.21,0.0,Baixo
2026-01-27,14:00:00,Torreão,0.0,1.21,0.0,Baixo
2026-01-27,13:00:00,Campina do Barreto,0.0,1.37,0.0,Baixo
2026-01-27,13:00:00,Imbiribeira,0.0,1.37,0.0,Baixo
2026-01-27,13:00:00,Torreão,0.0,1.37,0.0,Baixo
2026-01-27,12:00:00,Campina do Barreto,0.0,1.53,0.0,Baixo
2026-01-27,12:00:00,Imbiribeira,0.0,1.53,0.0,Baixo
